  X    Y
(0.1, 12.3)
(0.2, 18.4)
(0.3, 6.9)
(0.4, 11.5)
(0.5, 15.8)
(0.6, 3.2)
(0.7, 7.6)
(0.8, 19.1)
(0.9, 2.0)
(1.0, 8.5)
(1.1, 14.7)
(1.2, 5.3)
(1.3, 13.9)
(1.4, 10.2)
(1.5, 4.8)
(1.6, 9.6)
(1.7, 17.0)
(1.8, 1.4)
(1.9, 6.2)
(2.0, 12.8)
(2.1, 15.1)
(2.2, 7.9)
(2.3, 3.7)
(2.4, 11.0)
(2.5, 19.7)
(2.6, 5.5)
(2.7, 8.3)
(2.8, 14.2)
(2.9, 2.9)
(3.0, 10.7)
(3.1, 17.5)
(3.2, 4.1)
(3.3, 9.2)
(3.4, 13.4)
(3.5, 6.7)
(3.6, 18.9)
(3.7, 1.8)
(3.8, 7.4)
(3.9, 12.6)
(4.0, 15.6)
(4.1, 8.1)
(4.2, 3.5)
(4.3, 11.8)
(4.4, 19.3)
(4.5, 5.7)
(4.6, 10.5)
(4.7, 16.8)
(4.8, 2.2)
(4.9, 6.5)
(5.0, 14.0)
(5.1, 18.1)
(5.2, 7.1)
(5.3, 4.4)
(5.4, 12.1)
(5.5, 19.9)
(5.6, 9.9)
(5.7, 11,1)
(5.8, 17.6)
(5.9, 2.7)
(6.0, 7.8)
(6.1, 13.0)
(6.2, 18.2)
(6.3, 4.6)
(6.4, 10.3)
(6.5, 15.4)
(6.6, 1.1)
(6.7, 6.0)
(6.8, 11.7)
(6.9, 16.9)
(7.0, 3.9)
(7.1, 8.6)
(7.2, 14.8)
(7.3, 5.4)
(7.4, 12.4)
(7.5, 19.5)
(7.6, 0.5)
(7.7, 5.9)
(7.8, 11.2)
(7.9, 16.4)
(8.0, 2.4)
(8.1, 7.3)
(8.2, 13.5)
(8.3, 18.7)
(8.4, 4.9)
(8.5, 10.0)
(8.6, 15.2)
(8.7, 1.6)
(8.8, 6.8)
(8.9, 12.0)
(9.0, 17.2)
(9.1, 3.1)
(9.2, 8.4)
(9.3, 13.7)
(9.4, 19.0)
(9.5, 0.2)
(9.6, 5.2)
(9.7, 11.4)
(9.8, 16.6)
(9.9, 2.1)
(10.0, 7.0)
